ID,longtitude,latitude,properties_url,properties_city,properties_name,properties/state,address,postal_code,provider_brand_name
1,-122.682,47.654,https://www.costco.com/covid-vaccine.html,SILVERDALE,Silverdale,WA,10000 MICKELBERRY RD NW,98383,Costco
2,-122.121,47.355,https://www.costco.com/covid-vaccine.html,COVINGTON,Covington,WA,27520 COVINGTON WAY SE,98042,Costco
3,-122.344,47.776,https://www.costco.com/covid-vaccine.html,SHORELINE,Aurora Village,WA,1175 N 205TH ST,98133,Costco
4,-122.189,48.148,https://www.costco.com/covid-vaccine.html,MARYSVILLE,Marysville,WA,16616 TWIN LAKES AVE,98271,Costco
5,-122.27875,47.635561,https://pharmaca.as.me/madisonpark,Seattle,Seattle (Madison Park),WA,4130 E Madison St.,98112,Pharmaca
6,-123.125,48.079,https://www.costco.com/covid-vaccine.html,SEQUIM,Sequim,WA,955 W WASHINGTON ST,98382,Costco
7,-122.467,47.225,https://www.costco.com/covid-vaccine.html,TACOMA,Tacoma,WA,2219 S 37TH ST,98409,Costco
8,-120.496,46.565,https://www.costco.com/covid-vaccine.html,UNION GAP,Union Gap,WA,2310 LONGFIBRE RD,98903,Costco
9,-122.2243,47.7918,https://www.kroger.com/rx/covid-eligibility,Bothell,QFC T-Mobile Canyon Pointe South,WA,22309 30th Dr SE,98021,Kroger COVID
10,-122.1841547,47.7078712,https://www.fredmeyer.com/rx/covid-eligibility,Kirkland,Fred Meyer - Fred Meyer Kirkland,WA,12221 120th Ave NE,98034,Fred Meyer
11,-122.3076,47.7933,https://www.kroger.com/rx/covid-eligibility,Mountlake Terrace,QFC-Premera Drivethrough,WA,7001 220th St SW,98043,Kroger COVID
12,-122.2316197,47.9206159,https://www.fredmeyer.com/rx/covid-eligibility,Everett,Fred Meyer - Everett,WA,8530 Evergreen Way,98208,Fred Meyer
13,-122.2472,47.9017,https://www.kroger.com/rx/covid-eligibility,Everett,Comcast,WA,900 132nd St SW,98204,Kroger COVID
14,-122.2729081,47.8475416,https://www.fredmeyer.com/rx/covid-eligibility,Lynnwood,Fred Meyer - Alderwood,WA,2902 164Th St Sw,98087,Fred Meyer
15,-119.235,46.226,https://www.costco.com/covid-vaccine.html,KENNEWICK,Kennewick,WA,8505A W. GAGE BLVD,99336,Costco
16,-122.149,47.779,https://www.costco.com/covid-vaccine.html,WOODINVILLE,Woodinville,WA,24008 SNOHOMISH WOODINVILLE RD,98072,Costco
17,-122.183,47.681,https://www.costco.com/covid-vaccine.html,KIRKLAND,Kirkland,WA,8629 120TH AVE NE,98033,Costco
18,-122.329,47.565,https://www.costco.com/covid-vaccine.html,SEATTLE,Seattle,WA,4401 4TH AVE S,98134,Costco
19,-117.385,47.767,https://www.costco.com/covid-vaccine.html,SPOKANE,N Spokane,WA,12020 N NEWPORT HWY,99218,Costco
20,-122.313761,47.821848,https://www.cvs.com/vaccine/intake/store/cvd-schedule,LYNNWOOD,"CVS Pharmacy in LYNNWOOD, WA",WA,19507 HIGHWAY 99,98036,CVS
21,-117.1977,47.6421,https://www.kroger.com/rx/covid-eligibility,Spokane Valley,Spokane Valley Fred Meyer Vaccine Clinic,WA,15609 E Sprague Ave,99037,Kroger COVID
22,-117.333,47.657,https://www.costco.com/covid-vaccine.html,SPOKANE,Spokane,WA,5601 E SPRAGUE AVE,99212,Costco
23,-122.3588638,47.2979032,https://www.fredmeyer.com/rx/covid-eligibility,Federal Way,Fred Meyer - Federal Way,WA,33702 21St Ave Sw,98023,Fred Meyer
24,-122.4405,47.2545,https://www.kroger.com/rx/covid-eligibility,Tacoma,City of Tacoma vaccination event,WA,1102 A St,98402,Kroger COVID
25,-122.5290968,47.2442399,https://www.fredmeyer.com/rx/covid-eligibility,Tacoma,Fred Meyer - James Center,WA,6901 S 19Th St,98466,Fred Meyer
26,-122.5288898,47.2006877,https://www.fredmeyer.com/rx/covid-eligibility,University Place,Fred Meyer - University Place,WA,6305 Bridgeport Way W,98467,Fred Meyer
27,-117.049459,46.422883,https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid,Clarkston,Clarkston Supercenter,WA,306 5th St,99403,Walmart
